Organism	Genome Source	Genome Version/Assembly ID	Is Reference Strain	Contigs	Supercontigs	Chromosomes	Species	Strain	VEuPathDB Project	taxId	asmId	genBank	refSeq	identical	sciName	comName	ucscBrowser
Fonsecaea pedrosoi CBS 271.37	GenBank	GCA_000835455.1	yes	0	11	0	Fonsecaea pedrosoi	CBS 271.37	FungiDB	1442368.0	GCF_000835455.1_Fons_pedr_CBS_271_37_V1	GCA_000835455.1	GCF_000835455.1	True	Fonsecaea pedrosoi CBS 271.37	ascomycetes F.pedrosoi CBS 271.37	https://genome.ucsc.edu/h/GCF_000835455.1
Rhinocladiella mackenziei CBS 650.93	INSDC	GCA_000835555.1	yes	0	17	0	Rhinocladiella mackenziei	CBS 650.93	FungiDB	1442369.0	GCF_000835555.1_Rhin_mack_CBS_650_93_V1	GCA_000835555.1	GCF_000835555.1	True	Rhinocladiella mackenziei CBS 650.93	ascomycetes R.mackenziei CBS 650.93	https://genome.ucsc.edu/h/GCF_000835555.1
Cladophialophora bantiana CBS 173.52	INSDC	GCA_000835475.1	yes	0	60	0	Cladophialophora bantiana	CBS 173.52	FungiDB	1442370.0	GCF_000835475.1_Clad_bant_CBS_173_52_V1	GCA_000835475.1	GCF_000835475.1	True	Cladophialophora bantiana CBS 173.52	ascomycetes C.bantiana CBS 173.52	https://genome.ucsc.edu/h/GCF_000835475.1
Fonsecaea multimorphosa CBS 102226	INSDC	GCA_000836435.1	yes	0	67	0	Fonsecaea multimorphosa	CBS 102226	FungiDB	1442371.0	GCF_000836435.1_Fons_mult_CBS_102226_V1	GCA_000836435.1	GCF_000836435.1	True	Fonsecaea multimorphosa CBS 102226	ascomycetes F.multimorphosa CBS 102226	https://genome.ucsc.edu/h/GCF_000836435.1
Emergomyces pasteurianus Ep9510	INSDC	GCA_001883825.1	yes	0	1643	0	Emergomyces pasteurianus	Ep9510	FungiDB	1447872.0	GCA_001883825.1_Emmo_past_UAMH9510_V1	GCA_001883825.1		False	Emergomyces pasteurianus Ep9510	ascomycetes E.pasteurianus Ep9510 (UAMH 9510 2016)	https://genome.ucsc.edu/h/GCA_001883825.1
Aspergillus eucalypticola CBS 122712	INSDC	GCA_003184535.1	yes	0	131	0	Aspergillus eucalypticola	CBS 122712	FungiDB	1448314.0	GCF_003184535.1_Aspeuc1	GCA_003184535.1	GCF_003184535.1	True	Aspergillus eucalypticola CBS 122712	ascomycetes A.eucalypticola CBS 122712	https://genome.ucsc.edu/h/GCF_003184535.1
Aspergillus uvarum CBS 121591	INSDC	GCA_003184745.1	yes	0	172	0	Aspergillus uvarum	CBS 121591	FungiDB	1448315.0	GCF_003184745.1_Aspuva1	GCA_003184745.1	GCF_003184745.1	True	Aspergillus uvarum CBS 121591	ascomycetes A.uvarum CBS 121591	https://genome.ucsc.edu/h/GCF_003184745.1
Aspergillus ibericus CBS 121593	INSDC	GCA_003184845.1	yes	0	116	0	Aspergillus ibericus	CBS 121593	FungiDB	1448316.0	GCF_003184845.1_Aspibe1	GCA_003184845.1	GCF_003184845.1	True	Aspergillus ibericus CBS 121593	ascomycetes A.ibericus CBS 121593	https://genome.ucsc.edu/h/GCF_003184845.1
Aspergillus sclerotiicarbonarius CBS 121057	INSDC	GCA_003184635.1	yes	0	166	0	Aspergillus sclerotiicarbonarius	CBS 121057	FungiDB	1448318.0	GCA_003184635.1_Aspscle1	GCA_003184635.1		False	Aspergillus sclerotiicarbonarius CBS 121057	ascomycetes A.sclerotiicarbonarius (CBS 121057 2018)	https://genome.ucsc.edu/h/GCA_003184635.1
Aspergillus fijiensis CBS 313.89	INSDC	GCA_003184825.1	yes	0	149	0	Aspergillus fijiensis	CBS 313.89	FungiDB	1448319.0	GCF_003184825.1_Aspfij1	GCA_003184825.1	GCF_003184825.1	True	Aspergillus fijiensis CBS 313.89	ascomycetes A.fijiensis CBS 313.89	https://genome.ucsc.edu/h/GCF_003184825.1
Aspergillus ellipticus CBS 707.79	INSDC	GCA_003184645.1	yes	0	518	0	Aspergillus ellipticus	CBS 707.79	FungiDB	1448320.0	GCA_003184645.1_Aspell1	GCA_003184645.1		False	Aspergillus ellipticus CBS 707.79	ascomycetes A.ellipticus (CBS 707.79 2018)	https://genome.ucsc.edu/h/GCA_003184645.1
Aspergillus heteromorphus CBS 117.55	INSDC	GCA_003184545.1	yes	0	205	0	Aspergillus heteromorphus	CBS 117.55	FungiDB	1448321.0	GCF_003184545.1_Asphet1	GCA_003184545.1	GCF_003184545.1	True	Aspergillus heteromorphus CBS 117.55	ascomycetes A.heteromorphus CBS 117.55	https://genome.ucsc.edu/h/GCF_003184545.1
Aspergillus homomorphus CBS 101889	INSDC	GCA_003184865.1	yes	0	152	0	Aspergillus homomorphus	CBS 101889	FungiDB	1450537.0	GCF_003184865.1_Asphom1	GCA_003184865.1	GCF_003184865.1	True	Aspergillus homomorphus CBS 101889	ascomycetes A.homomorphus CBS 101889	https://genome.ucsc.edu/h/GCF_003184865.1
Theileria equi strain WA	GenBank	GCA_000342415.1	yes	0	8	2	Theileria equi	strain WA	PiroplasmaDB	1537102.0	GCF_000342415.1_JCVI-bewag-v1.1	GCA_000342415.1	GCF_000342415.1	True	Theileria equi strain WA	apicomplexans T.equi strain (WA 2012)	https://genome.ucsc.edu/h/GCF_000342415.1
Nematocida ironsii ERTm5	INSDC	GCA_001642415.1	yes	0	186	0	Nematocida ironsii	ERTm5	MicrosporidiaDB	1805481.0	GCA_001642415.1_ASM164241v1	GCA_001642415.1		False	Nematocida sp. ERTm5	microsporidians N.sp. (ERTm5 2016)	https://genome.ucsc.edu/h/GCA_001642415.1
Trypanosoma brucei brucei TREU927	GenBank	GCA_000002445.1	yes	115	0	16	Trypanosoma brucei	brucei TREU927	TriTrypDB	185431.0	GCF_000002445.2_ASM244v1	GCA_000002445.1	GCF_000002445.2	True	Trypanosoma brucei brucei TREU927	Trypanosoma brucei brucei (927/4 GUTat10.1 2005 kinetoplastids)	https://genome.ucsc.edu/h/GCF_000002445.2
Amphiamblys sp. WSBS2006	GenBank	GCA_001875675.1	yes	1727	0	0	unclassified Amphiamblys	WSBS2006	MicrosporidiaDB	1866961.0	GCA_001875675.1_ASM187567v1	GCA_001875675.1		False	Amphiamblys sp. WSBS2006	microsporidians A.sp. (WSBS2006 2016)	https://genome.ucsc.edu/h/GCA_001875675.1
Cryptococcus neoformans var. neoformans JEC21	GenBank	GCA_000091045.1	yes	0	0	14	Cryptococcus neoformans	var. neoformans JEC21	FungiDB	214684.0	GCF_000091045.1_ASM9104v1	GCA_000091045.1	GCF_000091045.1	True	Cryptococcus neoformans var. neoformans JEC21	basidiomycetes C.neoformans (JEC21 2005 refseq)	https://genome.ucsc.edu/h/GCF_000091045.1
Coccidioides posadasii C735 delta SOWgp	GenBank	GCA_000151335.1	no	0	55	0	Coccidioides posadasii	C735 delta SOWgp	FungiDB	222929.0	GCF_000151335.2_JCVI-cpa1-1.0	GCA_000151335.1	GCF_000151335.2	True	Coccidioides posadasii C735 delta SOWgp	ascomycetes C.posadasii (C735 delta SOWgp 2009 refseq)	https://genome.ucsc.edu/h/GCF_000151335.2
Chaetothyriales sp. CBS 132003	INSDC	GCA_003709865.1	yes	0	118	0	Chaetothyriales sp.	CBS 132003	FungiDB	2249419.0	GCA_003709865.1_ASM370986v1	GCA_003709865.1		False	Chaetothyriales sp. CBS 132003	ascomycetes C.sp. (CBS 132003 2018)	https://genome.ucsc.edu/h/GCA_003709865.1
Aspergillus nidulans FGSC A4	GenBank	GCA_000149205.2	yes	0	0	8	Aspergillus nidulans	FGSC A4	FungiDB	227321.0	GCF_000149205.2_ASM14920v2	GCA_000149205.2	GCF_000149205.2	True	Aspergillus nidulans FGSC A4	ascomycetes A.nidulans (FGSC A4 2012 refseq)	https://genome.ucsc.edu/h/GCF_000149205.2
Fusarium graminearum PH-1	GenBank	GCA_900044135.1	yes	0	1	4	Fusarium graminearum	PH-1	FungiDB	5518.0	GCA_900044135.1_GZPH1RResV1	GCA_900044135.1		False	Fusarium graminearum	ascomycetes F.graminearum (PH-1 GZPH1RResV1 2016)	https://genome.ucsc.edu/h/GCA_900044135.1
Cryptococcus neoformans var. grubii H99	GenBank	GCA_000149245.3	no	0	0	14	Cryptococcus neoformans	var. grubii H99	FungiDB	235443.0	GCF_000149245.1_CNA3	GCA_000149245.3	GCF_000149245.1	True	Cryptococcus neoformans var. grubii H99	basidiomycetes C.neoformans var. grubii H99	https://genome.ucsc.edu/h/GCF_000149245.1
Candida albicans SC5314	GenBank	GCA_000182965.3	yes	0	0	8	Candida albicans	SC5314	FungiDB	237561.0	GCF_000182965.3_ASM18296v3	GCA_000182965.3	GCF_000182965.3	True	Candida albicans SC5314	budding yeast C.albicans SC5314	https://genome.ucsc.edu/h/GCF_000182965.3
Ustilago maydis 521	GenBank	GCA_000328475.2	yes	0	4	23	Ustilago maydis	521	FungiDB	237631.0	GCF_000328475.2_Umaydis521_2.0	GCA_000328475.2	GCF_000328475.2	True	Ustilago maydis 521	smut fungi U.maydis 521	https://genome.ucsc.edu/h/GCF_000328475.2
Coprinopsis cinerea okayama7#130	GenBank	GCA_000182895.1	yes	0	67	0	Coprinopsis cinerea	okayama7#130	FungiDB	240176.0	GCF_000182895.1_CC3	GCA_000182895.1	GCF_000182895.1	True	Coprinopsis cinerea okayama7#130	basidiomycetes C.cinerea (okayama7#130 2010 refseq)	https://genome.ucsc.edu/h/GCF_000182895.1
Pyricularia oryzae 70-15	GenBank	GCA_000002495.2	yes	0	46	7	Pyricularia oryzae	70-15	FungiDB	242507.0	GCF_000002495.2_MG8	GCA_000002495.2	GCF_000002495.2	True	Pyricularia oryzae 70-15	rice blast fungus	https://genome.ucsc.edu/h/GCF_000002495.2
Rhizopus delemar RA 99-880	GenBank	GCA_000149305.1	yes	0	81	0	Rhizopus delemar	RA 99-880	FungiDB	246409.0	GCA_000149305.1_RO3	GCA_000149305.1		False	Rhizopus delemar RA 99-880	mucoromycotan R.delemar (RA 99-880 2009)	https://genome.ucsc.edu/h/GCA_000149305.1
Coccidioides immitis RS	GenBank	GCA_000149335.2	yes	0	6	0	Coccidioides immitis	RS	FungiDB	246410.0	GCF_000149335.2_ASM14933v2	GCA_000149335.2	GCF_000149335.2	True	Coccidioides immitis RS	ascomycetes C.immitis RS	https://genome.ucsc.edu/h/GCF_000149335.2
Microsporidium sp. FI-F-10	INSDC	GCA_021821965.1	yes	0	22	0	Microsporidium sp.	FI-F-10	MicrosporidiaDB	3039483.0	GCF_021821965.1_FI-F-10_v._1	GCA_021821965.1	GCF_021821965.1	True	Ordospora pajunii	microsporidians O.pajunii (FI-F-10  2022)	https://genome.ucsc.edu/h/GCF_021821965.1
Phanerochaete chrysosporium RP-78	GenBank	GCA_000167175.1	yes	0	232	0	Phanerochaete chrysosporium	RP-78	FungiDB	273507.0	GCA_000167175.1_ASM16717v1	GCA_000167175.1		False	Phanerochaete chrysosporium RP-78	basidiomycetes P.chrysosporium (RP-78 2004)	https://genome.ucsc.edu/h/GCA_000167175.1
Cryptococcus neoformans var. neoformans B-3501A	GenBank	GCA_000149385.1	no	0	0	14	Cryptococcus neoformans	var. neoformans B-3501A	FungiDB	283643.0	GCF_000149385.1_ASM14938v1	GCA_000149385.1	GCF_000149385.1	True	Cryptococcus neoformans var. neoformans B-3501A	basidiomycetes C.neoformans var. neoformans B-3501A	https://genome.ucsc.edu/h/GCF_000149385.1
Kluyveromyces lactis NRRL Y-1140	INSDC	GCA_000002515.1	yes	0	0	6	Kluyveromyces lactis	NRRL Y-1140	FungiDB	28985.0	GCF_000002515.2_ASM251v1	GCA_000002515.1	GCF_000002515.2	False	Kluyveromyces lactis	budding yeast K.lactis	https://genome.ucsc.edu/h/GCF_000002515.2
Yarrowia lipolytica CLIB122	GenBank	GCA_000002525.1	yes	0	0	6	Yarrowia lipolytica	CLIB122	FungiDB	284591.0	GCF_000002525.2_ASM252v1	GCA_000002525.1	GCF_000002525.2	False	Yarrowia lipolytica CLIB122	budding yeast Y.lipolytica (CLIB122 2004 refseq)	https://genome.ucsc.edu/h/GCF_000002525.2
Debaryomyces hansenii CBS767	INSDC	GCA_000006445.2	yes	0	0	7	Debaryomyces hansenii	CBS767	FungiDB	284592.0	GCF_000006445.2_ASM644v2	GCA_000006445.2	GCF_000006445.2	False	Debaryomyces hansenii CBS767	budding yeast D.hansenii CBS767	https://genome.ucsc.edu/h/GCF_000006445.2
Nakaseomyces glabratus CBS 138	GenBank	GCA_000002545.2	yes	0	0	13	Nakaseomyces glabratus	CBS 138	FungiDB	5478.0	GCF_000002545.3_ASM254v2	GCA_000002545.2	GCF_000002545.3	False	Nakaseomyces glabratus	budding yeast N.glabratus (CBS 138 2008 refseq)	https://genome.ucsc.edu/h/GCF_000002545.3
Encephalitozoon cuniculi GB-M1	GenBank	GCA_000091225.2	yes	0	0	11	Encephalitozoon cuniculi	GB-M1	MicrosporidiaDB	284813.0	GCF_000091225.2_ASM9122v2	GCA_000091225.2	GCF_000091225.2	True	Encephalitozoon cuniculi GB-M1	microsporidians E.cuniculi (v2 GB-M1 2017)	https://genome.ucsc.edu/h/GCF_000091225.2
Entamoeba histolytica HM-1:IMSS	GenBank	GCA_000208925.2	yes	0	1496	0	Entamoeba histolytica	HM-1:IMSS	AmoebaDB	294381.0	GCF_000208925.1_JCVI_ESG2_1.0	GCA_000208925.2	GCF_000208925.1	True	Entamoeba histolytica HM-1:IMSS	E.histolytica (HM-1:IMSS 2008)	https://genome.ucsc.edu/h/GCF_000208925.1
Meyerozyma guilliermondii ATCC 6260	INSDC	GCA_000149425.1	yes	0	9	0	Meyerozyma guilliermondii	ATCC 6260	FungiDB	294746.0	GCF_000149425.1_ASM14942v1	GCA_000149425.1	GCF_000149425.1	True	Meyerozyma guilliermondii ATCC 6260	budding yeast M.guilliermondii ATCC 6260	https://genome.ucsc.edu/h/GCF_000149425.1
Candida tropicalis MYA-3404	GenBank	GCA_000006335.3	yes	0	23	0	Candida tropicalis	MYA-3404	FungiDB	294747.0	GCF_000006335.3_ASM633v3	GCA_000006335.3	GCF_000006335.3	True	Candida tropicalis MYA-3404	budding yeast C.tropicalis MYA-3404	https://genome.ucsc.edu/h/GCF_000006335.3
Candida albicans WO-1	GenBank	GCA_000149445.2	no	0	16	0	Candida albicans	WO-1	FungiDB	294748.0	GCA_000149445.2_ASM14944v2	GCA_000149445.2		False	Candida albicans WO-1	budding yeast C.albicans (WO-1 2009)	https://genome.ucsc.edu/h/GCA_000149445.2
Cryptococcus gattii VGII R265	GenBank	GCA_002954075.1	yes	0	0	14	Cryptococcus gattii VGII	R265	FungiDB	294750.0	GCF_002954075.1_C._deuterogattii_R265_chr	GCA_002954075.1	GCF_002954075.1	False	Cryptococcus deuterogattii R265	basidiomycetes C.deuterogattii (R265 2018)	https://genome.ucsc.edu/h/GCF_002954075.1
Chaetomium globosum CBS 148.51	INSDC	GCA_000143365.1	yes	0	21	0	Chaetomium globosum	CBS 148.51	FungiDB	306901.0	GCF_000143365.1_ASM14336v1	GCA_000143365.1	GCF_000143365.1	True	Chaetomium globosum CBS 148.51	ascomycetes C.globosum CBS 148.51	https://genome.ucsc.edu/h/GCF_000143365.1
Clavispora lusitaniae ATCC 42720	GenBank	GCA_000003835.1	yes	0	9	0	Clavispora lusitaniae	ATCC 42720	FungiDB	306902.0	GCF_000003835.1_ASM383v1	GCA_000003835.1	GCF_000003835.1	True	Clavispora lusitaniae ATCC 42720	budding yeast C.lusitaniae (ATCC 42720 2009 refseq)	https://genome.ucsc.edu/h/GCF_000003835.1
Plasmodium chabaudi chabaudi	GenBank	GCA_900002335.2	yes	0	0	14	Plasmodium chabaudi	chabaudi	PlasmoDB	31271.0	GCF_900002335.3_GCA_900002335	GCA_900002335.2	GCF_900002335.3	False	Plasmodium chabaudi chabaudi	apicomplexans P.chabaudi chabaudi (AS 2019)	https://genome.ucsc.edu/h/GCF_900002335.3
Parastagonospora nodorum SN15	INSDC	GCA_016801405.1	yes	0	0	23	Parastagonospora nodorum	SN15	FungiDB	321614.0	GCA_016801405.1_ASM1680140v1	GCA_016801405.1		False	Parastagonospora nodorum SN15	ascomycetes P.nodorum (SN15 2021)	https://genome.ucsc.edu/h/GCA_016801405.1
Aspergillus fumigatus Af293	GenBank	GCA_000002655.1	yes	0	0	8	Aspergillus fumigatus	Af293	FungiDB	330879.0	GCF_000002655.1_ASM265v1	GCA_000002655.1	GCF_000002655.1	True	Aspergillus fumigatus Af293	ascomycetes A.fumigatus Af293	https://genome.ucsc.edu/h/GCF_000002655.1
Aspergillus fischeri NRRL 181	GenBank	GCA_000149645.4	yes	0	163	0	Aspergillus fischeri	NRRL 181	FungiDB	331117.0	GCF_000149645.3_ASM14964v4	GCA_000149645.4	GCF_000149645.3	True	Aspergillus fischeri NRRL 181	ascomycetes A.fischeri (v4 NRRL 181 2006)	https://genome.ucsc.edu/h/GCF_000149645.3
Botrytis cinerea B05.10	GenBank	GCA_000143535.4	yes	0	0	18	Botrytis cinerea	B05.10	FungiDB	332648.0	GCF_000143535.2_ASM14353v4	GCA_000143535.4	GCF_000143535.2	True	Botrytis cinerea B05.10	ascomycetes B.cinerea B05.10	https://genome.ucsc.edu/h/GCF_000143535.2
Aspergillus flavus NRRL3357	GenBank	GCA_000006275.3	yes	0	282	0	Aspergillus flavus	NRRL3357	FungiDB	332952.0	GCA_000006275.3_JCVI-afl1-v3.0	GCA_000006275.3		False	Aspergillus flavus NRRL3357	ascomycetes A.flavus (NRRL3357 2020)	https://genome.ucsc.edu/h/GCA_000006275.3
Theileria parva strain Muguga	GenBank	GCA_000165365.1	yes	0	6	2	Theileria parva	strain Muguga	PiroplasmaDB	333668.0	GCF_000165365.1_ASM16536v1	GCA_000165365.1	GCF_000165365.1	True	Theileria parva strain Muguga	apicomplexans T.parva strain (Muguga 2005)	https://genome.ucsc.edu/h/GCF_000165365.1
Fusarium verticillioides 7600	GenBank	GCA_000149555.1	yes	0	10	11	Fusarium verticillioides	7600	FungiDB	334819.0	GCF_000149555.1_ASM14955v1	GCA_000149555.1	GCF_000149555.1	False	Fusarium verticillioides 7600	ascomycetes F.verticillioides 7600	https://genome.ucsc.edu/h/GCF_000149555.1
Zymoseptoria tritici IPO323	GenBank	GCA_000219625.1	yes	0	0	21	Zymoseptoria tritici	IPO323	FungiDB	336722.0	GCF_000219625.1_MYCGR_v2.0	GCA_000219625.1	GCF_000219625.1	True	Zymoseptoria tritici IPO323	ascomycetes Z.tritici (IPO323 2011 refseq)	https://genome.ucsc.edu/h/GCF_000219625.1
Uncinocarpus reesii 1704	GenBank	GCA_000003515.2	yes	0	44	0	Uncinocarpus reesii	1704	FungiDB	336963.0	GCF_000003515.1_ASM351v2	GCA_000003515.2	GCF_000003515.1	True	Uncinocarpus reesii 1704	ascomycetes U.reesii 1704	https://genome.ucsc.edu/h/GCF_000003515.1
Histoplasma capsulatum NAm1	GenBank	GCA_000149585.1	no	0	276	0	Histoplasma capsulatum	NAm1	FungiDB	2059318.0	GCF_000149585.1_ASM14958v1	GCA_000149585.1	GCF_000149585.1	True	Histoplasma mississippiense	ascomycetes H.capsulatum NAm1	https://genome.ucsc.edu/h/GCF_000149585.1
Aspergillus terreus NIH2624	GenBank	GCA_000149615.1	yes	0	26	0	Aspergillus terreus	NIH2624	FungiDB	341663.0	GCF_000149615.1_ASM14961v1	GCA_000149615.1	GCF_000149615.1	True	Aspergillus terreus NIH2624	ascomycetes A.terreus NIH2624	https://genome.ucsc.edu/h/GCF_000149615.1
Aspergillus clavatus NRRL 1	GenBank	GCA_000002715.1	yes	0	143	0	Aspergillus clavatus	NRRL 1	FungiDB	344612.0	GCF_000002715.2_ASM271v1	GCA_000002715.1	GCF_000002715.2	True	Aspergillus clavatus NRRL 1	ascomycetes A.clavatus NRRL 1	https://genome.ucsc.edu/h/GCF_000002715.2
Leishmania major strain Friedlin	GenBank	GCA_000002725.2	yes	0	0	36	Leishmania major	strain Friedlin	TriTrypDB	347515.0	GCF_000002725.2_ASM272v2	GCA_000002725.2	GCF_000002725.2	True	Leishmania major strain Friedlin	Leishmania major (Friedlin 2011 kinetoplastids refseq)	https://genome.ucsc.edu/h/GCF_000002725.2
Plasmodium yoelii yoelii 17XNL	GenBank	GCA_000003085.2	no	5617	0	0	Plasmodium yoelii	yoelii 17XNL	PlasmoDB	73239.0	GCF_000003085.2_ASM308v2	GCA_000003085.2	GCF_000003085.2	True	Plasmodium yoelii yoelii	apicomplexans P.yoelii yoelii (17XNL 2002)	https://genome.ucsc.edu/h/GCF_000003085.2
Cryptosporidium parvum Iowa II	GenBank	GCA_000165345.1	yes	0	0	8	Cryptosporidium parvum	Iowa II	CryptoDB	353152.0	GCF_000165345.1_ASM16534v1	GCA_000165345.1	GCF_000165345.1	True	Cryptosporidium parvum Iowa II	apicomplexans C.parvum (Iowa type II 2007)	https://genome.ucsc.edu/h/GCF_000165345.1
Trypanosoma cruzi strain CL Brener	GenBank	GCA_000209065.1	no	29407	0	0	Trypanosoma cruzi	strain CL Brener	TriTrypDB	5693.0	GCF_000209065.1_ASM20906v1	GCA_000209065.1	GCF_000209065.1	True	Trypanosoma cruzi	Trypanosoma cruzi (CL Brener 2005 kinetoplastids)	https://genome.ucsc.edu/h/GCF_000209065.1
Trypanosoma cruzi strain Esmeraldo	GenBank	GCA_000327425.1	no	15007	796	0	Trypanosoma cruzi	strain Esmeraldo	TriTrypDB	366581.0	GCA_000327425.1_Trypanosoma_cruzi-5.1.3	GCA_000327425.1		False	Trypanosoma cruzi strain Esmeraldo	Trypanosoma cruzi strain (Esmeraldo cl. 3 2013)	https://genome.ucsc.edu/h/GCA_000327425.1
Neurospora crassa OR74A	GenBank	GCA_000182925.2	yes	0	13	7	Neurospora crassa	OR74A	FungiDB	367110.0	GCF_000182925.2_NC12	GCA_000182925.2	GCF_000182925.2	True	Neurospora crassa OR74A	ascomycetes N.crassa OR74A	https://genome.ucsc.edu/h/GCF_000182925.2
Cryptococcus gattii WM276	GenBank	GCA_000185945.1	yes	0	0	14	Cryptococcus gattii VGI	WM276	FungiDB	367775.0	GCF_000185945.1_ASM18594v1	GCA_000185945.1	GCF_000185945.1	True	Cryptococcus gattii WM276	basidiomycetes C.gattii WM276	https://genome.ucsc.edu/h/GCF_000185945.1
Entamoeba dispar SAW760	GenBank	GCA_000209125.2	yes	0	3312	0	Entamoeba dispar	SAW760	AmoebaDB	370354.0	GCF_000209125.1_JCVI_EDISG_1.0	GCA_000209125.2	GCF_000209125.1	True	Entamoeba dispar SAW760	E.dispar (SAW760 2008)	https://genome.ucsc.edu/h/GCF_000209125.1
Entamoeba invadens IP1	GenBank	GCA_000330505.1	yes	0	1144	0	Entamoeba invadens	IP1	AmoebaDB	370355.0	GCF_000330505.1_EIA2_v2	GCA_000330505.1	GCF_000330505.1	True	Entamoeba invadens IP1	E.invadens (IP1 2013)	https://genome.ucsc.edu/h/GCF_000330505.1
Lodderomyces elongisporus NRRL YB-4239	INSDC	GCA_000149685.1	yes	0	27	0	Lodderomyces elongisporus	NRRL YB-4239	FungiDB	379508.0	GCF_000149685.1_ASM14968v1	GCA_000149685.1	GCF_000149685.1	True	Lodderomyces elongisporus NRRL YB-4239	budding yeast L.elongisporus (NRRL YB-4239 2007 refseq)	https://genome.ucsc.edu/h/GCF_000149685.1
Aspergillus niger ATCC 1015	GenBank	GCA_000230395.2	no	0	24	0	Aspergillus niger	ATCC 1015	FungiDB	380704.0	GCA_000230395.2_ASPNI_v3.0	GCA_000230395.2		False	Aspergillus niger ATCC 1015	ascomycetes A.niger (ATCC 1015 2011)	https://genome.ucsc.edu/h/GCA_000230395.2
Pseudocercospora fijiensis CIRAD86	INSDC	GCA_000340215.1	yes	0	56	0	Pseudocercospora fijiensis	CIRAD86	FungiDB	383855.0	GCF_000340215.1_Mycfi2	GCA_000340215.1	GCF_000340215.1	True	Pseudocercospora fijiensis CIRAD86	ascomycetes P.fijiensis CIRAD86	https://genome.ucsc.edu/h/GCF_000340215.1
Ascosphaera apis ARSEF 7405	INSDC	GCA_001636715.1	yes	0	82	0	Ascosphaera apis	ARSEF 7405	FungiDB	392613.0	GCA_001636715.1_AAP_1.0	GCA_001636715.1		False	Ascosphaera apis ARSEF 7405	ascomycetes A.apis (ARSEF 7405 2016)	https://genome.ucsc.edu/h/GCA_001636715.1
Coccidioides immitis H538.4	GenBank	GCA_000149815.1	no	0	553	0	Coccidioides immitis	H538.4	FungiDB	396776.0	GCA_000149815.1_ASM14981v1	GCA_000149815.1		False	Coccidioides immitis H538.4	ascomycetes C.immitis (H538.4 2006)	https://genome.ucsc.edu/h/GCA_000149815.1
Schizosaccharomyces japonicus yFS275	GenBank	GCA_000149845.2	yes	0	32	0	Schizosaccharomyces japonicus	yFS275	FungiDB	402676.0	GCF_000149845.2_SJ5	GCA_000149845.2	GCF_000149845.2	True	Schizosaccharomyces japonicus yFS275	ascomycetes S.japonicus yFS275	https://genome.ucsc.edu/h/GCF_000149845.2
Phytophthora infestans T30-4	GenBank	GCA_000142945.1	yes	0	4921	0	Phytophthora infestans	T30-4	FungiDB	403677.0	GCF_000142945.1_ASM14294v1	GCA_000142945.1	GCF_000142945.1	True	Phytophthora infestans T30-4	potato late blight agent (T30-4 2009)	https://genome.ucsc.edu/h/GCF_000142945.1
Coccidioides immitis RMSCC 2394	GenBank	GCA_000149895.1	no	0	23	0	Coccidioides immitis	RMSCC 2394	FungiDB	404692.0	GCA_000149895.1_ASM14989v1	GCA_000149895.1		False	Coccidioides immitis RMSCC 2394	ascomycetes C.immitis (RMSCC 2394 2006)	https://genome.ucsc.edu/h/GCA_000149895.1
Trichoderma virens Gv29-8	GenBank	GCA_000170995.2	yes	93	0	0	Trichoderma virens	Gv29-8	FungiDB	413071.0	GCF_000170995.1_TRIVI_v2.0	GCA_000170995.2	GCF_000170995.1	True	Trichoderma virens Gv29-8	ascomycetes T.virens Gv29-8	https://genome.ucsc.edu/h/GCF_000170995.1
Puccinia graminis f. sp. tritici CRL 75-36-700-3	GenBank	GCA_000149925.1	yes	0	392	0	Puccinia graminis	f. sp. tritici CRL 75-36-700-3	FungiDB	418459.0	GCF_000149925.1_ASM14992v1	GCA_000149925.1	GCF_000149925.1	True	Puccinia graminis f. sp. tritici CRL 75-36-700-3	rust fungi P.graminis f. sp. tritici CRL 75-36-700-3	https://genome.ucsc.edu/h/GCF_000149925.1
Leishmania braziliensis MHOM/BR/75/M2904	GenBank	GCA_000002845.2	yes	103	0	36	Leishmania braziliensis	MHOM/BR/75/M2904	TriTrypDB	420245.0	GCF_000002845.2_ASM284v2	GCA_000002845.2	GCF_000002845.2	True	Leishmania braziliensis MHOM/BR/75/M2904	Leishmania braziliensis (MHOM/BR/75/M2904 2011 kinetoplastids)	https://genome.ucsc.edu/h/GCF_000002845.2
Aspergillus niger CBS 513.88	GenBank	GCA_000002855.2	yes	0	19	0	Aspergillus niger	CBS 513.88	FungiDB	5061.0	GCF_000002855.4_ASM285v2	GCA_000002855.2	GCF_000002855.4	True	Aspergillus niger	ascomycetes A.niger (v4 2007)	https://genome.ucsc.edu/h/GCF_000002855.4
Malassezia restricta CBS 7877	INSDC	GCA_003691605.1	no	0	0	9	Malassezia restricta	CBS 7877	FungiDB	425264.0	GCA_003691605.1_ASM369160v1	GCA_003691605.1		False	Malassezia restricta CBS 7877	basidiomycetes M.restricta (CBS 7877 2018)	https://genome.ucsc.edu/h/GCA_003691605.1
